posted,job title,company working,location working,salary,link
2 hours ago,Advanced Practitioner - Contextual Safeguarding,London Borough of Hillingdon,"UB8, Uxbridge, Greater London","£47,805 - £51,903/annum",https://www.cv-library.co.uk/job/220755737/Advanced-Practitioner-Contextual-Safeguarding?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Advanced Physiotherapist Practitioner,Gaia Recruitment LTD,"Preston, Lancashire","£46,000 - £53,000/annum",https://www.cv-library.co.uk/job/220411548/Advanced-Physiotherapist-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Advanced Physiotherapist Practitioner,Gaia Recruitment LTD,"Kidderminster, Worcestershire","£41,500 - £42,500/annum",https://www.cv-library.co.uk/job/220411618/Advanced-Physiotherapist-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Advanced Nurse Practitioner,Purosearch,Sheffield,"£45,000 - £67,000/annum",https://www.cv-library.co.uk/job/220747908/Advanced-Nurse-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Advanced Nurse Practitioner,Menlo Park,Bristol,"£54,600 - £58,500/annum NHS Pension + Training Practice ",https://www.cv-library.co.uk/job/220745154/Advanced-Nurse-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
8 hours ago,Advanced Nurse Practitioner,Menlo Park,"Rochdale, Greater Manchester","£48,000 - £54,500/annum Indemnity Paid+ 7W leave + no home v",https://www.cv-library.co.uk/job/220751460/Advanced-Nurse-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Endoscopy Lead Practitioner,Nurseplus UK Ltd,"Swindon, Wiltshire","£38,000 - £40,000/annum",https://www.cv-library.co.uk/job/220745285/Endoscopy-Lead-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Registered Nurse,Gaia Recruitment LTD,"Bridgwater, Somerset","£43,000 - £50,000/annum",https://www.cv-library.co.uk/job/220415893/Registered-Nurse?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Case Manager,Sophie Bell & Associates ,County Durham,"£38,000 - £45,000/annum",https://www.cv-library.co.uk/job/220255529/Case-Manager?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,IT Project Manager,Proactive Appointments,Nationwide,"£40,000 - £45,000/annum",https://www.cv-library.co.uk/job/220746192/IT-Project-Manager?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Paramedic,Gaia Recruitment LTD,"Bridgwater, Somerset","£38,500 - £46,000/annum",https://www.cv-library.co.uk/job/220416055/Paramedic?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Senior Care Assistant - Care Home - Bank,Barchester Healthcare,Newark,£13.03/hourly,https://www.cv-library.co.uk/job/220746300/Senior-Care-Assistant-Care-Home-Bank?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
4 hours ago,Senior Care Assistant - Care Home,Barchester Healthcare,Wadhurst,£12/hourly,https://www.cv-library.co.uk/job/220753997/Senior-Care-Assistant-Care-Home?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
today,Team Leader - Care,Barchester Healthcare,Kidderminster,£12.67/hourly,https://www.cv-library.co.uk/job/220748547/Team-Leader-Care?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Emergency Nurse Practitioner,OH Medical Recruitment ,"Bridgwater, Somerset","£43,000 - £45,000/annum Pension/DiscountSchemes+More",https://www.cv-library.co.uk/job/220609731/Emergency-Nurse-Practitioner?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Children Social Worker,AKTON Resourcing Ltd,"Southwark, London",£35/hour,https://www.cv-library.co.uk/job/220743938/Children-Social-Worker?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Coding Trainee Placement Programme,ITonlinelearning,London,"£26,000 - £35,000/annum",https://www.cv-library.co.uk/job/220556486/Coding-Trainee-Placement-Programme?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Programming Trainee Placement Programme,ITonlinelearning,Nationwide,"£26,000 - £35,000/annum",https://www.cv-library.co.uk/job/220556494/Programming-Trainee-Placement-Programme?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
yesterday,Trainee Programmer Placement Program,ITonlinelearning,London,"£26,000 - £35,000/annum",https://www.cv-library.co.uk/job/220557498/Trainee-Programmer-Placement-Program?hlkw=Advanced-Practitioner&sid=fc0f526a-00af-45c8-b855-25d9e91204c7
